陈兆民,NONE,,,
肖遂宁,NONE,,,
孙建一,NONE,,,
王石,NONE,,,
丁克义,NONE,,,
陈章良,北京大学,副教授,,
陈章良,北京大学,系主任,,
陈章良,北京大学,院长,,
陈章良,北京大学,系主任,,
陈章良,北京大学,副校长,,
陈章良,中国农业大学,校长,,
傅泽田,北京农业工程大学,副校长,1993/12,1995/6
傅泽田,中国农业大学,教授,,
王克昕,中国农业大学,任教,,
王克昕,中国农业大学,院长,,
王鲁锋,NONE,,,
江玉明,NONE,,,
李林琳,NONE,,,
丁芃,NONE,,,
范明月,NONE,,,
李永明,NONE,,,
李成碧,NONE,,,
练卫飞,NONE,,,
丁玮,NONE,,,
陈德棉,NONE,,,
秦钢,北京航空学院,高级工程师,1962/1988,
周瑞堂,NONE,,,
王志全,北方交通大学,讲师,,
陈政立,NONE,,,
李振华,NONE,,,
曹永红,NONE,,,
严立虎,NONE,,,
杜小莉,NONE,,,
夏鹏,NONE,,,
贾明辉,NONE,,,
田承刚,NONE,,,
陈玉刚,NONE,,,
陈潮,NONE,,,
李景奇,NONE,,,
曾南,NONE,,,
邹明武,NONE,,,
吕华,NONE,,,
杨建达,NONE,,,
陈勇,NONE,,,
任克雷,NONE,,,
侯松容,NONE,,,
吴斯远,NONE,,,
陈跃华,NONE,,,
张民,NONE,,,
刘凤喜,NONE,,,
李承友,NONE,,,
谢如贤,NONE,,,
黄俊民,NONE,,,
章晓峰,NONE,,,
尚世骏,吉林工业大学,任教,1984,1994
李钢,NONE,,,
罗桂友,NONE,,,
李海,NONE,,,
董炳根,浙江丝绸工学院,副院长,,
胡永峰,NONE,,,
陈略,NONE,,,
林家宏,NONE,,,
曾湃,NONE,,,
郑煜曦,NONE,,,
吴德华,NONE,,,
车文申,NONE,,,
李中秋,NONE,,,
王之,NONE,,,
陈肇雄,NONE,,,
傅育宁,NONE,,,
王芬,NONE,,,
郑少平,NONE,,,
时伟,NONE,,,
陈德伦,NONE,,,
杨玉科,NONE,,,
杨国富,NONE,,,
宋仁权,NONE,,,
张瑞理,NONE,,,
吕航,深圳大学,讲师,,
李志正,NONE,,,
吴光权,NONE,,,
赖伟宣,NONE,,,
刁伟程,NONE,,,
劳德容,NONE,,,
王学为,NONE,,,
杨海贤,NONE,,,
高自民,NONE,,,
刘晓勇,NONE,,,
郭原,郑州大学,任教,1983/7,1994/12
郑宏杰,NONE,,,
陈为钢,NONE,,,
付明仲,NONE,,,
魏玉林,NONE,,,
李智明,NONE,,,
叶环保,NONE,,,
邵志和,NONE,,,
周建国,江西财经学院,教师,,
李承友,NONE,,,
杨奋勃,NONE,,,
王建宇,NONE,,,
滕铁骑,NONE,,,
金毅,NONE,,,
古焕坤,NONE,,,
孙忠人,NONE,,,
周政,NONE,,,
佟保安,NONE,,,
杨军,NONE,,,
张永平,NONE,,,
陈旭,NONE,,,
周剑,NONE,,,
张润钢,北京国际政治学院,教师,,
王晓燕,NONE,,,
李聚全,NONE,,,
袁克俭,NONE,,,
闻心达,NONE,,,
陈辉汉,NONE,,,
肖水龙,NONE,,,
王迎,NONE,,,
晏群,NONE,,,
郭为,NONE,,,
侯自强,NONE,,,
郝建学,NONE,,,
杜长喜,NONE,,,
洪和良,NONE,,,
严圣军,NONE,,,
董炳根,浙江丝绸工学院,副院长,,
丁跃,NONE,,,
董炳根,浙江丝绸工学院,副院长,,
劳德容,NONE,,,
刘德雨,NONE,,,
魏文德,NONE,,,
杨海贤,NONE,,,
王华林,NONE,,,
夏杨军,NONE,,,
王峰,NONE,,,
雷啸峰,NONE,,,
高海波,NONE,,,
许亚楠,NONE,,,
李建红,NONE,,,
傅育宁,NONE,,,
李建红,NONE,,,
王宏,NONE,,,
邱瑞亨,NONE,,,
陈泰泉,NONE,,,
陈泰泉,NONE,,,
郑小将,NONE,,,
蒋洪库,NONE,,,
马兴文,NONE,,,
朱新宏,郑州航空工业管理学院,任教,1983,1986
朱新宏,郑州航空工业学院,任教,1988/5,11
伍斌,江西财经大学,系副主任,,
宋炳新,NONE,,,
姚日波,NONE,,,
李志正,NONE,,,
吴光权,NONE,,,
仇慎谦,NONE,,,
肖临骏,NONE,,,
管同科,NONE,,,
王滨,NONE,,,
朱军,NONE,,,
卢志强,NONE,,,
卢志强,NONE,,,
韩晓生,NONE,,,
卢志强,NONE,,,
陈枫,NONE,,,
王敏,NONE,,,
罗爱华,武汉职工大学,教师,,
刘其,NONE,,,
李志正,NONE,,,
吴光权,NONE,,,
由镭,NONE,,,
熊建明,北京建筑工程学院,教授,,
李锦全,NONE,,,
郑康豪,NONE,,,
陈小海,NONE,,,
张为民,NONE,,,
王楚,NONE,,,
王立,NONE,,,
冯恩良,NONE,,,
刘云文,NONE,,,
李金泉,NONE,,,
李春建,NONE,,,
欧显华,NONE,,,
李进明,NONE,,,
陈良贤,NONE,,,
朱伟,NONE,,,
林家宏,NONE,,,
陈少群,NONE,,,
张锦墙,NONE,,,
梁光伟,NONE,,,
李国洪,NONE,,,
梁光伟,NONE,,,
胡新安,NONE,,,
张太峰,NONE,,,
侯为贵,NONE,,,
赵先明,NONE,,,
焦志仁,NONE,,,
何晓东,NONE,,,
李建民,NONE,,,
王一彤,NONE,,,
王之,NONE,,,
陈肇雄,NONE,,,
杜和平,NONE,,,
杨军,NONE,,,
张继良,NONE,,,
张为民,NONE,,,
胡建平,西安公路学院,教师,,
黄俞,NONE,,,
任克雷,NONE,,,
张整魁,暨南大学,院长,,
刘平春,暨南大学,院长,,
任克雷,NONE,,,
刘平春,暨南大学,院长,,
段先念,NONE,,,
季德钧,NONE,,,
张俊林,NONE,,,
王宝,NONE,,,
张思民,哈尔滨工业大学,教授,,
张思民,白求恩医科大学,院长,,
李选民,武汉交通科技大学,任教,1982/1,1986/9
郑宏杰,NONE,,,
李冰,NONE,,,
卢胜海,NONE,,,
郭立民,NONE,,,
郭立民,NONE,,,
杨进军,NONE,,,
黄传奇,NONE,,,
汪洋,NONE,,,
邹志远,NONE,,,
高振怀,四平师范学院,教师,,
陈潮,NONE,,,
姚玉伦,NONE,,,
高雷,NONE,,,
辛杰,NONE,,,
王建彬,NONE,,,
张桂泉,NONE,,,
毕为,NONE,,,
李东生,NONE,,,
钟伟贤,NONE,,,
王平,NONE,,,
许振东,NONE,,,
刘绍生,NONE,,,
陈奕民,NONE,,,
范全木,NONE,,,
邹宝中,NONE,,,
刘学义,NONE,,,
许克强,NONE,,,
张成,NONE,,,
徐桦木,NONE,,,
何宏满,NONE,,,
谢木喜,NONE,,,
苏重光,NONE,,,
陈晓军,NONE,,,
王诚,NONE,,,
杨跃,NONE,,,
何述金,NONE,,,
李健,NONE,,,
肖贤辉,NONE,,,
王政,NONE,,,
万巍,NONE,,,
励怡青,NONE,,,
王健儿,NONE,,,
方明华,NONE,,,
詹纯新,NONE,,,
韩希厚,NONE,,,
汤彰明,NONE,,,
朱立田,NONE,,,
吴敏其,NONE,,,
丁治平,NONE,,,
李剑阁,NONE,,,
储晓明,NONE,,,
董东立,NONE,,,
吴新祥,NONE,,,
计高雄,NONE,,,
方洪波,NONE,,,
谭旭光,NONE,,,
王纪年,NONE,,,
李富生,郑州大学,教授,,
冷俊,NONE,,,
杜金弘,NONE,,,
张增光,NONE,,,
王功伟,NONE,,,
刘世春,NONE,,,
赵新先,NONE,,,
梅伟伶,NONE,,,
史跃武,NONE,,,
史曜瑜,NONE,,,
符念平,NONE,,,
余笑兵,NONE,,,
刘体斌,NONE,,,
徐建国,NONE,,,
隋立祖,NONE,,,
王鹏,NONE,,,
张士成,NONE,,,
张庆民,NONE,,,
路联,NONE,,,
邢福立,NONE,,,
彭文辉,NONE,,,
范军,NONE,,,
范敬孝,NONE,,,
毕方庆,NONE,,,
胡江波,NONE,,,
何宏满,NONE,,,
胡向东,NONE,,,
张虹,NONE,,,
姚俊喜,NONE,,,
陈惠仁,NONE,,,
关锡友,NONE,,,
谭中东,NONE,,,
王先龙,NONE,,,
冯志斌,NONE,,,
王引平,NONE,,,
冯志斌,NONE,,,
董庆祥,NONE,,,
尚建斌,NONE,,,
李兆廷,NONE,,,
柳志伟,NONE,,,
东英金融投资有限公司之董事会(‘董事会’)欣然宣布,NONE,,,
刘德平,NONE,,,
申屠建中,NONE,,,
郭运斌,NONE,,,
钟志军,NONE,,,
宋小刚,NONE,,,
高传义,NONE,,,
王浩,NONE,,,
汤亮,NONE,,,
纪家伟,NONE,,,
陈青,NONE,,,
考尚校,NONE,,,
余政,NONE,,,
马志军,NONE,,,
徐建兵,NONE,,,
王宏,NONE,,,
郑晓燕,NONE,,,
朱德坤,NONE,,,
李石生,NONE,,,
万冠清,NONE,,,
方洪波,NONE,,,
周兆达,NONE,,,
傅万才,NONE,,,
王进军,NONE,,,
宋德武,NONE,,,
朱自强,NONE,,,
王光凡,NONE,,,
薛乐群,NONE,,,
朱明,NONE,,,
周仪,NONE,,,
潘明,NONE,,,
蒋远华,NONE,,,
虞云峰,NONE,,,
蒋伟,NONE,,,
乔世波,NONE,,,
李福祚,NONE,,,
王春城,NONE,,,
王民,NONE,,,
景树森,NONE,,,
吉兴业,NONE,,,
陈纪明,NONE,,,
游国经,NONE,,,
曹晓峰,NONE,,,
周余明,NONE,,,
李希元,NONE,,,
朱战良,NONE,,,
禹荣刚,NONE,,,
李智勇,NONE,,,
袁祖荣,NONE,,,
陈洪国,NONE,,,
赵向东,NONE,,,
梁健,NONE,,,
王振山,NONE,,,
王玉君,NONE,,,
于少明,NONE,,,
徐春福,NONE,,,
江成,NONE,,,
毛冬声,NONE,,,
刘江超,NONE,,,
余斌,NONE,,,
曾塞外,NONE,,,
贾岩燕,NONE,,,
李颖,NONE,,,
罗文,NONE,,,
卢山,NONE,,,
周江军,NONE,,,
刘文杰,NONE,,,
黄志刚,NONE,,,
石磊,NONE,,,
郑清,NONE,,,
杨海亚,哈尔滨科技大学,任教,1978/9,1981/4
楚健健,NONE,,,
史文涛,山东财政学院,讲师,1989,1994
胡杰平,NONE,,,
孙朝晖,NONE,,,
郑峰文,NONE,,,
李明吉,NONE,,,
阎前,NONE,,,
杨润贵,NONE,,,
吴爱存,NONE,,,
欧辉生,NONE,,,
邹昌浩,NONE,,,
倪进凯,NONE,,,
刘壮成,NONE,,,
邢乐成,山东大学,教授,,
贾立兴,NONE,,,
刘永华,NONE,,,
郭宏杰,NONE,,,
何光昶,NONE,,,
刘汉,NONE,,,
张昌德,NONE,,,
刘江东,NONE,,,
刘成文,NONE,,,
沈志奇,NONE,,,
刘成文,NONE,,,
王大明,NONE,,,
易振球,NONE,,,
朱保国,NONE,,,
官忠富,NONE,,,
张玉昌,NONE,,,
刘永贤,NONE,,,
粟志光,NONE,,,
徐平,NONE,,,
徐平,NONE,,,
王科,NONE,,,
刘文胜,NONE,,,
王爱萍,NONE,,,
史今,NONE,,,
陈新,江西财经大学,教授,,
牛小军,NONE,,,
王久芳,NONE,,,
王久芳,NONE,,,
华国强,NONE,,,
孙国建,NONE,,,
张青,NONE,,,
郑永龙,NONE,,,
齐振伟,NONE,,,
张振华,NONE,,,
隋建辉,NONE,,,
邬昆华,NONE,,,
张敬武,大庆石油学院,任教,1982/7,1988/5
刘锡汉,NONE,,,
朱宁,NONE,,,
王涛,NONE,,,
陈德顺,NONE,,,
赵勇,NONE,,,
刘体斌,NONE,,,
梁建彬,NONE,,,
李有成,NONE,,,
陈翔志,NONE,,,
胡守斌,NONE,,,
傅勇国,NONE,,,
龙丕泉,NONE,,,
谢树文,NONE,,,
翁亚绪,NONE,,,
冯劲,NONE,,,
张竹筠,NONE,,,
杨寿海,NONE,,,
郑嘉猷,NONE,,,
田峰,NONE,,,
郑嘉猷,NONE,,,
田峰,NONE,,,
郑嘉猷,NONE,,,
张质良,NONE,,,
张浩,NONE,,,
姬浩,NONE,,,
王晓华,NONE,,,
曾光安,NONE,,,
冯国良,NONE,,,
柯惠琪,NONE,,,
崔河,NONE,,,
聂周荣,NONE,,,
周凯,广西大学,任教,1982/7,1985/9
周凯,广东省财贸管理干部学院,教师,1988/7,2000/6
蔡飚,NONE,,,
张和,NONE,,,
肖永勤,NONE,,,
纪志坚,NONE,,,
陈传实,NONE,,,
夏藩高,NONE,,,
黄中发,NONE,,,
郭晓光,NONE,,,
梁学敏,NONE,,,
冯冠平,清华大学,院长,,
李东义,NONE,,,
谢伟,NONE,,,
黄梅粦,NONE,,,
张少松,NONE,,,
李智,NONE,,,
杨印宝,NONE,,,
沈宗敏,NONE,,,
黄振光,NONE,,,
林伟光,NONE,,,
阮希玮,NONE,,,
李明智,NONE,,,
徐鹏,NONE,,,
赵健,NONE,,,
王志华,NONE,,,
钟安刚,NONE,,,
龙江,NONE,,,
王明辉,NONE,,,
潘力,NONE,,,
李灼贤,NONE,,,
鲁石,NONE,,,
罗玉平,NONE,,,
钟信才,NONE,,,
庄坚毅,NONE,,,
钟信才,NONE,,,
潘杰,NONE,,,
何勇,NONE,,,
张绍仓,NONE,,,
方平,NONE,,,
白泰平,NONE,,,
张飞飞,NONE,,,
周义德,NONE,,,
刘先超,NONE,,,
李建平,NONE,,,
孙宏伟,NONE,,,
张守斌,NONE,,,
孙洪武,NONE,,,
赵友永,NONE,,,
郭金东,NONE,,,
孙健,NONE,,,
许华,NONE,,,
赵辉,NONE,,,
关敬如,华侨大学,副校长,2003,2005
张荣刚,NONE,,,
章高路,NONE,,,
王勇,NONE,,,
刘著平,NONE,,,
刘忠明,NONE,,,
谭应球,NONE,,,
张玉玺,NONE,,,
刘林平,NONE,,,
孙敏,江西工业大学,教授,,
蒋林生,NONE,,,
王锡高,NONE,,,
邱天高,NONE,,,
葛维玲,NONE,,,
张志忠,NONE,,,
曹新彤,NONE,,,
董柏,NONE,,,
刘春奇,NONE,,,
邵乐冲,NONE,,,
顾地民,NONE,,,
罗福乾,NONE,,,
毛鹏茜,NONE,,,
梁习明,NONE,,,
张茂立,NONE,,,
李作荣,NONE,,,
安礼如,NONE,,,
冯东青,NONE,,,
任君,NONE,,,
贺炜,NONE,,,
王瑛,NONE,,,
王宜明,NONE,,,
厉天福,NONE,,,
宋波,NONE,,,
郭为,NONE,,,
张吉生,NONE,,,
周敏敏,NONE,,,
朱关湖,NONE,,,
孟虎,NONE,,,
王天林,NONE,,,
高继胜,清华大学,教授,,
高继胜,浙江大学,教授,,
鲁冠球,NONE,,,
吴新元,NONE,,,
何道峰,NONE,,,
谢勇,NONE,,,
张慕冉,NONE,,,
李强,NONE,,,
杨修福,NONE,,,
王瑄,NONE,,,
李荣家,NONE,,,
唐大楷,NONE,,,
孙志诚,NONE,,,
薛季民,NONE,,,
詹军道,NONE,,,
高建平,NONE,,,
马永庆,NONE,,,
姜杰,NONE,,,
陈光辉,NONE,,,
苏中俊,NONE,,,
龙勇,NONE,,,
刘悉承,第三军医大学,助教,1984/1986,
刘悉承,第三军医大学,讲师,1989/1995,
马骧,NONE,,,
俞发祥,NONE,,,
傅建中,NONE,,,
纪道林,NONE,,,
丁波,NONE,,,
郭怀保,NONE,,,
袁秀平,重庆大学,硕士生导师,,
谢明,NONE,,,
刘淼,NONE,,,
李汉华,NONE,,,
张骏原,NONE,,,
薛国俊,NONE,,,
韩立彬,NONE,,,
赵序宏,NONE,,,
曲大利,NONE,,,
景柱,湖南大学,教授,,
秦全权,NONE,,,
陈林,NONE,,,
周明轩,NONE,,,
周润,NONE,,,
邹敦华,NONE,,,
吴成文,NONE,,,
麦庆华,NONE,,,
胡成中,NONE,,,
许良飞,NONE,,,
王伟良,NONE,,,
陈学军,NONE,,,
刘凤堂,NONE,,,
冯大为,NONE,,,
徐文元,NONE,,,
黄葆源,桂林电子科技大学,教授,,
周小溪,NONE,,,
程高潮,NONE,,,
李峰林,NONE,,,
马培林,NONE,,,
项永春,NONE,,,
罗宏,NONE,,,
瞿林,NONE,,,
苏伟国,NONE,,,
苏江华,NONE,,,
郭新荣,NONE,,,
朱开友,NONE,,,
徐明君,NONE,,,
徐小文,NONE,,,
罗劲,NONE,,,
马中文,NONE,,,
成钧,NONE,,,
王志伟,NONE,,,
张金铸,NONE,,,
王志伟,NONE,,,
朱要文,NONE,,,
马世春,NONE,,,
张本正,NONE,,,
张喜民,清华大学,系副主任,,
郭元林,NONE,,,
李义,NONE,,,
乔志城,NONE,,,
乔志城,NONE,,,
王书贵,NONE,,,
廖志扬,NONE,,,
雷励,NONE,,,
王小军,NONE,,,
袁永红,NONE,,,
曹华斌,NONE,,,
陈克根,NONE,,,
游宪生,NONE,,,
何尔涛,NONE,,,
刘健,NONE,,,
刘平山,NONE,,,
付志明,NONE,,,
汪俊林,NONE,,,
杨先本,NONE,,,
李占通,NONE,,,
高续纯,NONE,,,
李树明,NONE,,,
刘建平,NONE,,,
荣十庆,NONE,,,
赵家国,NONE,,,
张立忠,NONE,,,
王效金,NONE,,,
刘俊德,NONE,,,
王锋,NONE,,,
曹杰,NONE,,,
余林,NONE,,,
梁金辉,NONE,,,
陈钢,天津大学,教授,,
董增贺,NONE,,,
刘震,NONE,,,
魏海军,NONE,,,
任建新,NONE,,,
杨兴强,NONE,,,
陆韶华,NONE,,,
谭建明,NONE,,,
杨光,NONE,,,
李本文,NONE,,,
汪海,NONE,,,
柴永森,NONE,,,
单群英,NONE,,,
王永忠,NONE,,,
李连平,NONE,,,
米大斌,NONE,,,
徐兵,NONE,,,
陈来泉,NONE,,,
赵铁流,NONE,,,
魏兴毅,NONE,,,
朱胜利,NONE,,,
张合斌,NONE,,,
陈军,NONE,,,
张秉军,NONE,,,
刘逸荣,NONE,,,
星晓明,NONE,,,
杨景文,NONE,,,
赵华,NONE,,,
连良桂,NONE,,,
汪力成,NONE,,,
汪诚,NONE,,,
刘小斌,NONE,,,
刘浩军,NONE,,,
金美星,NONE,,,
赵晴,NONE,,,
唐军,NONE,,,
曹湘洪,NONE,,,
王永健,NONE,,,
李方,NONE,,,
郑宽,NONE,,,
马中秋,NONE,,,
蔡建新,北大,教授,,
夏富喜,NONE,,,
谢平伟,NONE,,,
云文广,NONE,,,
王小兰,NONE,,,
濮黎明,NONE,,,
寿浩良,NONE,,,
马雅,NONE,,,
赵伟,NONE,,,
马雅,NONE,,,
邱士杰,NONE,,,
金保庆,NONE,,,
乔桂玲,NONE,,,
蒋英刚,NONE,,,
周传良,NONE,,,
刘承进,NONE,,,
李珊瑚,NONE,,,
黎愿斌,NONE,,,
林魁,NONE,,,
王凤岐,NONE,,,
蒋岚,NONE,,,
朱俊峰,NONE,,,
陈闽建,NONE,,,
田汉,NONE,,,
汤闯,NONE,,,
李强,东北财经大学,校长,,
宫晓冬,NONE,,,
张丽萍,NONE,,,
朱卫军,NONE,,,
赵权,北京林业大学,硕士生导师,,
马广悦,NONE,,,
卢祥福,NONE,,,
姜小兴,NONE,,,
杨元建,NONE,,,
吴根柱,NONE,,,
郭景彬,NONE,,,
李顺安,NONE,,,
纪勤应,NONE,,,
任勇,NONE,,,
齐生立,NONE,,,
刘晓卫,北京大学,副教授,,
杜焰生,NONE,,,
李红旗,NONE,,,
傅军,NONE,,,
丁伟,NONE,,,
郑慧卿,NONE,,,
刘煌,NONE,,,
覃虹,NONE,,,
殷明坤,NONE,,,
陈少波,NONE,,,
苏文,NONE,,,
刘炬,NONE,,,
李秀林,NONE,,,
尹家绪,NONE,,,
徐留平,NONE,,,
李炳源,NONE,,,
秦兆平,NONE,,,
向汉林,NONE,,,
刘益谦,NONE,,,
肖云华,NONE,,,
刘益谦,NONE,,,
曾绍清,NONE,,,
周强,NONE,,,
方兆,NONE,,,
平兴,NONE,,,
陈明乾,NONE,,,
洪及鄙,NONE,,,
樊政炜,NONE,,,
张大德,NONE,,,
杨振超,NONE,,,
孟永范,NONE,,,
韦江宏,NONE,,,
杨军,NONE,,,
刘铁杲,NONE,,,
管大源,NONE,,,
兰隽,NONE,,,
高旭斌,NONE,,,
孔清华,NONE,,,
吴岩,NONE,,,
赵景云,NONE,,,
石进儒,NONE,,,
张玉秋,NONE,,,
邹学仁,NONE,,,
秦江玉,NONE,,,
田继生,NONE,,,
秦江玉,NONE,,,
宗维海,NONE,,,
梁力平,NONE,,,
洪海雄,NONE,,,
钟金松,NONE,,,
李泽中,NONE,,,
何德先,NONE,,,
郭劲松,NONE,,,
刘华,NONE,,,
王晓江,NONE,,,
董荣生,NONE,,,
张晖,NONE,,,
张澎,NONE,,,
杜红云,NONE,,,
王勇,NONE,,,
王棣,NONE,,,
张棠华,NONE,,,
余小华,NONE,,,
肖正连,NONE,,,
梅强,NONE,,,
苏结宏,NONE,,,
朱江洪,北大,教授,,
董明珠,山东大学,教授,,
董明珠,南京工业大学,导师,,
董明珠,中国科技大学,教授,,
董明珠,北京师范大学,教授,,
董明珠,中南财经政法大学,教授,,
张军,NONE,,,
张秉军,NONE,,,
胡军,NONE,,,
苏同强,NONE,,,
张相军,NONE,,,
刘圣刚,NONE,,,
刘远清,NONE,,,
陈凯,NONE,,,
屈波,NONE,,,
吴坚,NONE,,,
邓惠明,NONE,,,
黄红云,NONE,,,
黄红云,NONE,,,
邓志雄,NONE,,,
杨伯华,NONE,,,
焦健,NONE,,,
杨伯华,NONE,,,
李福利,NONE,,,
黄乐夫,NONE,,,
宋建明,NONE,,,
杨占民,NONE,,,
陈鸿兴,NONE,,,
梁国坚,NONE,,,
吴景贤,NONE,,,
刘文彦,NONE,,,
赵邵安,NONE,,,
徐亦平,NONE,,,
吕值友,NONE,,,
王祺扬,NONE,,,
尹守恩,NONE,,,
陆云良,NONE,,,
刘海涛,NONE,,,
叶茂新,NONE,,,
温一雷,NONE,,,
刘道明,NONE,,,
吕品,NONE,,,
陈火军,NONE,,,
吴瑞林,NONE,,,
李建新,NONE,,,
陈义和,NONE,,,
刘道兴,NONE,,,
苗泽春,NONE,,,
姜晓峰,NONE,,,
艾有关,NONE,,,
陈炎表,NONE,,,
史浩樑,NONE,,,
陈志成,NONE,,,
林腾蛟,NONE,,,
林腾蛟,NONE,,,
胡智勇,NONE,,,
李再生,NONE,,,
张永宏,NONE,,,
陈亮,NONE,,,
潘亚敏,NONE,,,
俞锋,NONE,,,
李成业,NONE,,,
麻向阳,NONE,,,
葛晋生,NONE,,,
郑建成,NONE,,,
王建辉,NONE,,,
刘刚,NONE,,,
王春芳,NONE,,,
李荣福,NONE,,,
王春芳,NONE,,,
冯井岗,NONE,,,
刘双河,NONE,,,
赵立仁,NONE,,,
逄奉建,NONE,,,
袁明哲,NONE,,,
张志鸿,NONE,,,
丁明国,NONE,,,
季长彬,NONE,,,
张德炳,NONE,,,
周霁,NONE,,,
高少兵,NONE,,,
刘春堂,NONE,,,
宋传远,NONE,,,
田益群,NONE,,,
董平,NONE,,,
周庆庭,NONE,,,
董平,NONE,,,
张秀文,NONE,,,
张秀文,NONE,,,
李晓卫,中国科技大学,教授,,
宋军,NONE,,,
梁贤久,NONE,,,
丁振华,NONE,,,
戴连荣,NONE,,,
贺占海,NONE,,,
陈杰,NONE,,,
高少初,NONE,,,
郑钟强,华南理工大学,副教授,,
谭庆中,NONE,,,
陈爱学,NONE,,,
冷述铁,NONE,,,
陈青松,NONE,,,
李树,NONE,,,
矫正中,NONE,,,
杨树财,NONE,,,
李福春,NONE,,,
王春雨,NONE,,,
王东兴,NONE,,,
吕向阳,NONE,,,
薛同建,NONE,,,
谭启,NONE,,,
张良宾,NONE,,,
赵晓轮,NONE,,,
张良宾,NONE,,,
郝江波,NONE,,,
史建华,中央政法管理干部学院,系副主任,,
刘建民,NONE,,,
赵威,NONE,,,
叶华能,NONE,,,
宁远喜,NONE,,,
冯宝忠,NONE,,,
张燕瑾,NONE,,,
祁程,NONE,,,
陈勇,NONE,,,
安双荣,NONE,,,
梁德根,NONE,,,
龚成辉,NONE,,,
安双荣,NONE,,,
卢树春,NONE,,,
