Name,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
安平生,0000000031,学习,延安中国人民抗日军政大学,,,
安启元,0000000034,本科,西北大学,地质,,
巴特尔,0000000047,大专,内蒙古自治区海拉尔蒙古族师范学校,蒙文,1978.11,1980.08
巴特尔,0000000047,培训,内蒙古自治区委党校,,1982.02,1983.07
巴特尔,0000000047,培训,中央党校,,1988.02,1988.07
巴特尔,0000000047,研究生,复旦大学,政治经济学,1995.09,1998.07
巴特尔,0000000047,研究生,中央党校,政治学,2006.09,2009.07
巴音朝鲁,0000000049,学习,内蒙古师范大学,政治理论,1980.11,1982.11
巴音朝鲁,0000000049,研究生,吉林大学,国民经济计划与管理,1994.03,1997.03
巴音朝鲁,0000000049,进修,中央党校,,1995.09,1995.11
白栋材,0000000051,学习,中共中央党校,,1936.00,1938.00
白恩培,0000000052,本科,西北工业大学,航海设备与自动控制,1965.08,1970.08
白恩培,0000000052,培训,中央党校,,1987.09,1988.07
白克明,0000000059,本科,哈尔滨军事工程学院,导弹工程,1962.00,1968.00
白立忱,0000000060,本科,沈阳农学院,农业机械化,1960.00,1964.00
白玛赤林,0000000063,本科,西藏民族学院,,1965.09,1969.12
白玛赤林,0000000063,培训,中央党校,,1989.09,1991.07
白玛赤林,0000000063,培训,中央党校,,2000.03,2001.01
白玛赤林,0000000063,研究生,中央党校,党的学说与党的建设,2000.03,2002.01
白如冰,0000000066,高中,,,,
薄熙来,0000000095,本科,北京大学,世界史,1978.02,1979.09
薄熙来,0000000095,研究生,中国社会科学院,国际新闻,1979.09,1982.08
布赫,0000000121,学习,延安陕北公学,,1939.00,
布赫,0000000121,学习,延安民族学院,,,
布赫,0000000121,本科,延安大学,,,1946.00
曹伯纯,0000000158,大专,株洲航空工业学校,,1958.09,1960.08
曹伯纯,0000000158,大专,株洲航空工业专科学校,工具制造,1960.08,1963.12
曹伯纯,0000000158,培训,湖南省委党校,,1981.03,1981.07
曹伯纯,0000000158,进修,北京航空学院,,1982.03,1982.07
曹伯纯,0000000158,培训,中央党校,,1986.09,1987.07
曹荻秋,0000000161,本科,成都师范大学,,,1930.00
曾绍山,0000000209,,,,,
曾思玉,0000000212,学习,瑞金红军学校,,1932.00,
曾希圣,0000000217,学习,湖南省立第三师范学校,,1920.00,
曾希圣,0000000217,学习,黄埔军校,,1924.00,
陈邦柱,0000000254,本科,重庆大学,,,1954.00
陈德铭,0000000291,研究生,南京大学,数量经济学,1993.06,1996.08
陈德铭,0000000291,研究生,南京大学,企业管理,1996.03,1999.12
陈光毅,0000000329,大专,东北工学院,机电,1950.00,1953.00
陈豪,0000000348,本科,上海市静安区业余大学,汉语言文学,1980.02,1984.01
陈豪,0000000348,进修,华东师范大学,世界经济,1989.05,1991.06
陈豪,0000000348,研究生,中欧国际工商学院,工商管理,2001.03,2003.01
陈豪,0000000348,进修,中央党校,,2006.03,2006.07
陈豪,0000000348,研究生,国防大学,,2014.05,2014.07
陈焕友,0000000364,本科,中国人民大学,工业经济,1952.09,1955.00
陈辉光,0000000366,学习,中央党校,,1982.09,1983.07
陈建国,0000000387,本科,山东大学,经济,,1982.00
陈雷,0000000429,,,,,
陈良宇,0000000434,本科,解放军后勤工程学院,结构,1963.08,1968.08
陈良宇,0000000434,进修,同济大学,工程结构,1979.02,1980.01
陈良宇,0000000434,培训,市机电一局党校,,1982.09,1983.04
陈良宇,0000000434,学习,英国伯明翰大学,公共政策,1992.01,1992.09
陈敏尔,0000000444,大专,绍兴师范专科学校,中文,1978.10,1981.08
陈敏尔,0000000444,学习,浙江省委党校,,1982.09,1983.05
陈敏尔,0000000444,培训,中央党校,,1995.09,1996.07
陈敏尔,0000000444,研究生,中央党校,法学,1995.09,1998.07
陈明义,0000000451,研究生,上海交通大学,船舶流体力学,,1966.00
陈丕显,0000000458,,,,,
陈璞如,0000000463,,,,,
陈求发,0000000478,本科,国防科技大学,雷达对抗,1975.09,1978.10
陈求发,0000000478,进修,中央党校,,2002.03,2002.05
陈全国,0000000480,本科,郑州大学,政治经济学,1978.03,1981.12
陈全国,0000000480,研究生,武汉理工大学,经济学,1995.03,1997.07
陈伟达,0000000531,本科,上海暨南大学,物理,1933.00,1937.00
陈武,0000000540,学习,广西大学,哲学,1978.01,1982.01
陈武,0000000540,进修,联邦德国,宏观经济管理,1990.09,1991.12
陈武,0000000540,研究生,中央党校,法学,1997.09,2000.07
陈希同,0000000542,本科,北京大学,,1948.00,
陈锡联,0000000544,,,,,
陈毅,0000000581,学习,成都甲种工业学校（现成都工业学院）,,1916.00,
陈政高,0000000612,大专,大连海运学院,海洋船舶驾驶,1972.02,1975.01
成克杰,0000000639,本科,北方交通大学,运动工程,1952.00,1957.00
成克杰,0000000639,预备,北京俄文专修学校,,1953.00,1954.00
成克杰,0000000639,培训,中央党校,,1989.09,1989.11
成克杰,0000000639,培训,中央党校,,1994.02,1994.05
程安东,0000000642,大专,辽宁省阜新煤矿学校,,,1955.09
程安东,0000000642,本科,合肥工业大学,采矿,,1962.07
程世清,0000000670,学习,中央党校,,1943.11,
程维高,0000000673,大专,中央党校,,1981.00,1982.00
程子华,0000000689,学习,黄埔军校武汉分校,,1926.12,
程子华,0000000689,学习,太原国民师范,,1922.00,
程子华,0000000689,学习,中央党校,,1975.00,
程子华,0000000689,学习,中等师范学校,,,1925.00
程子华,0000000689,学习,中华全国合作社联合总社干部学校（现北京工商大学最早前身之一）,,1950.11,1952.10
池必卿,0000000690,高中,太原市友仁中学,,1935.08,
池必卿,0000000690,学习,晋冀豫边区党校,,1938.10,
储波,0000000702,本科,天津大学,河川枢纽及水电站建筑,1962.09,1967.09
储波,0000000702,培训,中央党校,,1994.03,1994.05
戴苏理,0000000771,,,,,
戴相龙,0000000774,本科,中央财政金融学院,会计,1967.00,
邓鸿勋,0000000802,本科,江南大学,工业管理,1949.00,1953.00
杜家毫,0000000933,培训,上海市委党校,,1982.09,1983.01
杜家毫,0000000933,本科,华东师范大学,中文,1983.09,1988.06
杜家毫,0000000933,培训,中央党校,,1995.09,1996.07
杜家毫,0000000933,研究生,中央党校,世界经济,1995.09,1998.07
杜家毫,0000000933,研究生,中欧国际工商学院,工商管理,2005.03,2007.05
杜青林,0000000941,培训,吉林省吉林市委党校,,1964.00,1966.00
杜青林,0000000941,函授,东北师范大学,政治教育,1981.00,1984.00
杜青林,0000000941,进修,中央党校,,1990.03,1990.05
杜青林,0000000941,本科,吉林大学,法律,1989.00,1992.00
杜青林,0000000941,研究生,吉林大学,国民经济计划与管理,1994.00,1996.00
杜青林,0000000941,进修,中央党校,,2000.09,2000.11
段君毅,0000000968,学习,北平中国大学,,1932.00,
段君毅,0000000968,学习,中共中央党校,,1937.12,
冯纪新,0000001083,,,,,
高德占,0000001171,本科,大连工学院,化工,,
高峰,0000001173,,,,,
高严,0000001220,大专,长春电力学校,热力系统自动化,1959.08,
高严,0000001220,函授,吉林大学,法律,1989.00,1992.00
高严,0000001220,研究生,吉林大学,世界经济,1993.00,1995.00
高扬,0000001221,预科,东北大学,法学,1928.00,
高扬,0000001221,学习,东北大学,经济管理,1934.00,1936.08
葛洪升,0000001249,,,,,
顾金池,0000001297,,,,,
郭峰,0000001331,,长春私立自强中学,,1928.00,
郭峰,0000001331,,吉林省立第一师范,,1931.02,
郭峰,0000001331,,吉林省立第一中学,,1932.00,
郭庚茂,0000001335,专修,北京大学,政治学,1982.09,1984.09
郭庚茂,0000001335,培训,中央党校,,1995.09,1996.07
郭庚茂,0000001335,研究生,中央党校,政治经济学,1995.09,1998.07
郭金龙,0000001353,本科,南京大学,声学,1964.00,1969.00
郭树清,0000001377,本科,南开大学,哲学,1978.03,1982.02
郭树清,0000001377,研究生,中国社会科学院,马列系科学社会主义,1982.02,1985.02
郭树清,0000001377,博士,中国社会科学院,马列系科学社会主义,1985.02,1988.07
郭树清,0000001377,访问,英国牛津大学,,1986.07,1987.08
郭树言,0000001379,本科,南开大学,物理,1952.09,1953.07
郭树言,0000001379,学习,北京俄文专修学校,,1953.07,1954.08
郭树言,0000001379,本科,苏联乌拉尔工学院（现为乌拉尔联邦大学）,黑色金属铸造,1954.08,1959.10
郭树言,0000001379,进修,中央党校,,1998.03,1998.05
郭振乾,0000001414,本科,中国人民大学,贸易,,1954.00
韩光,0000001429,学习,哈尔滨学院,,1930.00,
韩光,0000001429,学习,苏联莫斯科东方劳动者共产主义大学,,1935.00,
韩培信,0000001438,,,,,
韩先楚,0000001447,,延安抗日军政大学,,1937.00,
韩先楚,0000001447,,军政学院、军事学院,,1941.03,
韩寓群,0000001460,本科,南京化工学院,基本有机合成,1962.09,1967.09
韩长赋,0000001463,学习,黑龙江省呼兰师范学校,,1975.10,1976.07
韩长赋,0000001463,大专,中国人民大学,中文,1980.12,1985.12
韩长赋,0000001463,本科,中国人民大学,中文,1980.12,1985.12
韩长赋,0000001463,研究生,中国政法大学,经济法,1990.03,1993.03
韩长赋,0000001463,进修,中央党校,,1992.09,1993.01
韩长赋,0000001463,培训,中央党校,,1997.09,1998.07
韩长赋,0000001463,博士,清华大学,法学,2002.09,2007.01
韩正,0000001464,大专,复旦大学,,1983.00,1985.00
韩正,0000001464,学习,华东师范大学,政教,1985.00,1987.00
韩正,0000001464,研究生,华东师范大学,国际关系与世界经济,1991.00,1994.00
郝鹏,0000001480,本科,西北工业大学,飞行器制造工程,1978.10,1982.07
郝鹏,0000001480,研究生,西北工业大学,航空系统工程,1997.09,2000.12
何竹康,0000001558,学习,苏中江海公学,,1947.00,
何竹康,0000001558,学习,中国人民大学,,1951.00,
何竹康,0000001558,学习,北京俄文专修学校,,1952.00,
何竹康,0000001558,学习,苏联国立莫斯科经济学院,国民经济计划,1953.00,
贺国强,0000001567,本科,北京化工学院,无机物工学,1961.00,1966.00
洪虎,0000001577,本科,北京工业学院（现北京理工大学）,液体火箭推进剂,1958.09,1963.09
侯宗宾,0000001613,学习,中共中央第五中级党校,,1956.00,1957.00
侯宗宾,0000001613,学习,解放军政治学院,,1963.00,1964.00
胡春华,0000001626,本科,北京大学,中文,1979.09,1983.08
胡春华,0000001626,培训,中央党校,,1996.09,1997.12
胡春华,0000001626,研究生,中央党校,世界经济,1996.09,1999.07
胡春华,0000001626,进修,中央党校,,2000.09,2000.11
胡富国,0000001631,大专,山西省潞安矿务局煤矿学校,采煤,1958.08,1960.10
胡富国,0000001631,学习,辽宁煤矿师范学院,,1960.10,1961.09
胡富国,0000001631,本科,辽宁阜新矿业学院,煤层地下开采,1961.09,1964.09
胡锦涛,0000001650,本科,清华大学,河川枢纽电站,1959.00,1964.00
胡锦涛,0000001650,,清华大学,,1964.00,1965.00
胡平,0000001661,,,,,
华国锋,0000001703,,,,,
黄华华,0000001752,本科,中山大学,数学,1964.09,1989.09
黄华华,0000001752,研究生,中央党校,,1983.09,1985.07
黄华华,0000001752,研究生,国防大学,,1994.09,1994.12
黄璜,0000001753,,,,,
黄火青,0000001755,,,,,
黄敬,0000001772,高中,天津南开中学、汇文中学,,1924.00,
黄敬,0000001772,学习,国立青岛大学（今山东大学与中国海洋大学）,,1931.00,
黄敬,0000001772,本科,北京大学,数学,1935.00,
黄静波,0000001774,学习,中央党校,,1962.00,1965.00
黄菊,0000001775,本科,清华大学,电机制造,1956.00,1963.00
黄克诚,0000001781,学习,广州中央政治讲习班,,1926.00,
黄克诚,0000001781,学习,衡阳湖南省立第三师范学校,,1922.00,
黄欧东,0000001797,,,,,
黄奇帆,0000001805,本科,上海机械学院,自动化仪表,1974.09,1977.09
黄奇帆,0000001805,研究生,中欧国际工商学院,工商管理,1998.02,1999.12
黄小晶,0000001857,本科,南京工学院,工业与民用建筑,1964.09,1970.09
黄兴国,0000001864,进修,浙江省委党校,马列主义基础理论,1980.11,1982.10
黄兴国,0000001864,培训,中央党校,,1995.09,1996.07
黄兴国,0000001864,研究生,中央党校,法学,1995.09,1998.07
黄兴国,0000001864,博士,同济大学,管理科学与工程,2001.09,2004.08
黄岩,0000001871,学习,延安中央党校,,1937.09,
黄智权,0000001910,学习,浙江农业大学,农机,1958.09,1960.09
黄智权,0000001910,本科,浙江农业大学,农机,1960.09,1963.09
回良玉,0000001915,大专,吉林省农业学校,,1961.00,1964.00
回良玉,0000001915,大专,吉林省委党校,党政干部基础,1984.00,1987.00
惠浴宇,0000001918,学习,江苏省第八师范,,,
惠浴宇,0000001918,,抗日军政大学,,1937.10,
霍士廉,0000001922,,北京宏达学院,,1931.00,
吉炳轩,0000001930,本科,郑州大学,本科,1975.00,1978.00
季允石,0000001943,本科,山东大学,物理,1964.09,1969.07
季允石,0000001943,进修,中央党校,,1992.03,1992.06
贾庆林,0000001961,大专,石家庄工业管理学校,工业企业计划,1956.00,1958.00
贾庆林,0000001961,本科,河北工学院,电机电器设计与制造,1958.00,1962.00
贾志杰,0000001976,学习,北京外语学院,留苏预备部,1954.09,1955.09
贾志杰,0000001976,本科,苏联莫斯科石油学院,石油化工机械制造,1955.09,
贾治邦,0000001977,本科,杭州无线电工业学校管理学院（现杭州电子科技大学）,工业经济管理,1978.06,1980.06
贾治邦,0000001977,学习,中国人民大学,国民经济管理,,
江华,0000001992,学习,湖南省立第三师范学校,,1925.00,
江渭清,0000002007,,,,,
江一真,0000002009,学习,中央红军卫生学校,,1932.00,
姜春云,0000002019,学习,山东省莱西县教师训练班,,1946.00,1949.00
姜春云,0000002019,函授,中国语言文学自修大学,,1985.00,1987.00
姜大明,0000002020,本科,黑龙江大学,哲学,1978.03,1982.01
姜大明,0000002020,研究生,哈尔滨工业大学,技术经济,1994.10,1996.05
姜大明,0000002020,进修,中央党校,,1996.03,1996.05
姜大明,0000002020,研究生,中央党校,政治学,1998.09,2001.07
蒋超良,0000002051,本科,湖南财经学院,财政,1978.08,1981.08
蒋超良,0000002051,研究生,西南财经大学,货币银行学,1993.09,1996.07
蒋超良,0000002051,进修,中央党校,,2008.05,2008.07
蒋定之,0000002056,大专,江苏省镇江地区第二师范学校,,1977.03,1979.01
蒋定之,0000002056,本科,南京理工大学,环境工程,1998.09,2001.03
蒋定之,0000002056,研究生,中央党校,政治学,2002.09,2005.07
蒋巨峰,0000002066,本科,复旦大学,政治经济学,1978.10,1982.07
蒋巨峰,0000002066,进修,中央党校,,1991.04,1991.07
蒋巨峰,0000002066,培训,中央党校,,1996.09,1997.07
蒋祝平,0000002082,学习,哈尔滨军事工程学院,导弹工程,,1963.00
焦若愚,0000002086,,,,,
解学恭,0000002100,,,,,
金基鹏,0000002109,专科,江苏省南京市立商业职业学校,,1947.07,1950.05
金基鹏,0000002109,学习,中国逻辑与语言函授大学,党政,1985.00,1988.00
柯庆施,0000002156,高中,安徽省立第二中学,,,
赖若愚,0000002185,本科,北京大学,,,
赖若愚,0000002185,学习,延安中央党校,,1937.00,
李斌,0000002240,本科,吉林大学,政治经济学,1978.03,1982.01
李成玉,0000002264,培训,中央民族学院,,1974.07,1975.07
李成玉,0000002264,培训,中央党校,,,
李成玉,0000002264,进修,中央党校,,1983.09,1985.08
李大章,0000002286,高中,合江中学,,,
李大章,0000002286,专科,成都留法勤工俭学预备学校,,,
李德生,0000002294,,,,,
李登瀛,0000002298,,,,,
李贵鲜,0000002346,培训,北京外国语学院,,1959.00,1960.00
李贵鲜,0000002346,培训,中国科学技术大学,,1959.00,1960.00
李贵鲜,0000002346,本科,苏联莫斯科门氏化工学院,电真空化学,1960.00,1965.00
李鸿忠,0000002382,本科,吉林大学,历史学,1978.02,1982.02
李鸿忠,0000002382,培训,中央党校,,1996.09,1997.07
李鸿忠,0000002382,学习,美国哈佛大学,政治,1997.07,
李纪恒,0000002395,本科,广西大学,文学创作,1976.11,1979.08
李纪恒,0000002395,培训,中央党校,,1995.09,1996.07
李纪恒,0000002395,研究生,中央党校,经济管理,1995.09,1998.07
李纪恒,0000002395,博士,中国社会科学院,农业经济管理,1999.09,2003.07
李嘉廷,0000002403,本科,清华大学,电机与电器制造,,1968.00
李建国,0000002408,本科,山东大学,汉语言文学,1964.00,1969.00
李锦斌,0000002446,学习,长春师范学院,历史,1980.07,1982.08
李锦斌,0000002446,研究生,吉林大学,政治学,1989.07,1992.07
李锦斌,0000002446,培训,中央党校,,1995.09,1996.07
李锦斌,0000002446,博士,吉林大学,政治学理论,1995.09,1998.06
李锦斌,0000002446,进修,美国芝加哥伊利诺伊大学,MBA,1996.06,1999.11
李井泉,0000002453,,省立第三师范,,,
李井泉,0000002453,,延安中央党校,,,
李克强,0000002486,本科,北京大学,法律,1978.00,1982.00
李克强,0000002486,进修,中央党校,,1991.09,1991.11
李克强,0000002486,研究生,北京大学,经济学,1988.00,1994.00
李克强,0000002486,博士,北京大学,经济学,1988.00,1994.00
李力安,0000002496,,,,,
李立,0000002498,,,,,
李强,0000002553,研究生,中央党校,工商管理,,
李庆伟,0000002571,,,,,
李瑞环,0000002591,本科,北京建工业余学院,工业与民用建筑,1958.00,1963.00
李瑞山,0000002592,,,,,
李希,0000002679,本科,西北师范学院,汉语言文学,1978.03,1982.01
李希,0000002679,进修,中央党校,,2004.03,2004.07
李希,0000002679,研究生,清华大学,工商管理,2008.09,2011.01
李先念,0000002683,,,,,
李小鹏,0000002694,本科,华北电力学院,发电厂及电力系统,1978.10,1982.08
李小鹏,0000002694,培训,加拿大安大略水电局、曼尼吐巴直流高压输电研究中心、曼尼吐巴大学,,1987.02,1988.02
李小鹏,0000002694,专科,北京经济函授大学,经济管理,1989.04,1991.04
李小鹏,0000002694,培训,中央党校,,2001.03,2002.01
李小鹏,0000002694,培训,中央党校,,2006.05,2006.07
李学勇,0000002721,本科,北京化工学院（今北京化工大学）,高分子化工,1978.03,1982.02
李学勇,0000002721,进修,中央党校,,1999.03,1999.05
李学勇,0000002721,培训,国家行政学院,,2001.08,2001.11
李雪峰,0000002723,,太原国民师范学院,,1925.00,
李雪峰,0000002723,,山西大学,,1931.00,
李源潮,0000002786,本科,上海师范大学,数学,1972.00,1974.00
李源潮,0000002786,研究生,北京大学,理学,1988.00,1991.00
李源潮,0000002786,博士,中央党校,科学社会主义,1991.00,1995.00
李泽民,0000002800,本科,中国人民大学,中共党史,,
李长春,0000002804,本科,哈尔滨工业大学,工业企业自动化,1961.00,1966.00
李兆焯,0000002811,本科,广西大学,农田水利工程,1963.00,1968.00
李兆焯,0000002811,培训,广西区党委党校,,1982.00,1983.00
李兆焯,0000002811,培训,中央党校,,1987.02,1987.07
栗战书,0000002868,学习,河北省石家庄地区财贸学校,物价专业学,1971.00,1972.00
